date, 2.12.0-RC2, 2.12.0-RC1, 2.12.0-RC1, 2.12.0-RC1, 2.12.0-RC1, 2.12.0-M5, 2.12.0-M4-9901daf, 2.12.0-M4, 2.12.0-M3-dc9effe, 2.12.0-M3, 2.12.0-M2, 2.12.0-M1, 2.11.8, 2.11.7, 2.11.6, 2.11.5, 2.11.4, 2.11.3, 2.11.2, 2.11.1, 2.11.0, 2.11.0-RC4, 2.11.0-RC3, 2.11.0-RC1, 2.11.0-M8, 2.11.0-M7, 2.11.0-M6, 2.11.0-M5, 2.11.0-M4, 2.11.0-M3, 2.11.0-M2, 2.11.0-M1, 2.11.2, 2.11.1, 2.11.0, 2.11.0-RC4, 2.11.0-RC3, 2.11.0-RC1, 2.11.0-M8, 2.11.0-M7, 2.11.0-M6, 2.11.0-M5, 2.11.0-M4, 2.11.0-M3, 2.11.0-M2, 2.11.0-M1, 2.10.6, 2.10.5, 2.10.4, 2.10.4-RC3, 2.10.4-RC2, 2.10.4-RC1, 2.10.3, 2.10.3-RC3, 2.10.3-RC2, 2.10.3-RC1, 2.10.2, 2.10.2-RC2, 2.10.2-RC1, 2.10.1, 2.10.1-RC3, 2.10.1-RC2, 2.10.1-RC1, 2.10.0, 2.10.0-RC5, 2.10.0-RC4, 2.10.0-RC3, 2.10.0-RC2, 2.10.0-RC1, 2.10.0-M7, 2.10.0-M6, 2.10.4, 2.10.4-RC3, 2.10.4-RC2, 2.10.4-RC1, 2.10.3, 2.10.3-RC3, 2.10.3-RC2, 2.10.3-RC1, 2.10.2, 2.10.2-RC2, 2.10.2-RC1, 2.10.1, 2.10.1-RC3, 2.10.1-RC2, 2.10.1-RC1, 2.10.0, 2.10.0-RC5, 2.10.0-RC4, 2.10.0-RC3, 2.10.0-RC2, 2.10.0-RC1, 2.10.0-M7, 2.10.0-M6, 2.10.0-M5, 2.10.0-M4, 2.10.0-M3, 2.10.0-M2, 2.10.0-M1
2012/12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 125, 106, 5, 106, 90, 78, 86, 60, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 125, 106, 5, 106, 90, 78, 86, 60, 28, 20, 13, 10, 19
2013/1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 338, 156, 6, 113, 98, 82, 93, 61, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 338, 156, 6, 113, 98, 82, 93, 61, 28, 20, 13, 10, 19
2013/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 13, 767, 158, 6, 115, 99, 83, 93, 61, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 13, 767, 158, 6, 115, 99, 83, 93, 61, 28, 20, 13, 10, 19
2013/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 104, 1, 7, 13, 1094, 158, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 104, 1, 7, 13, 1094, 158, 6, 117, 99, 83, 93, 61, 28, 20, 13, 11, 19
2013/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 397, 1, 7, 13, 1419, 159, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 397, 1, 7, 13, 1419, 159, 6, 117, 99, 83, 93, 61, 28, 20, 14, 11, 19
2013/5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2, 4, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 619, 1, 7, 13, 1609, 159, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 619, 1, 7, 13, 1609, 159, 6, 117, 99, 83, 93, 61, 28, 20, 14, 11, 19
2013/6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 2, 4, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 92, 13, 4, 727, 1, 7, 13, 1888, 159, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 0, 0, 0, 0, 92, 13, 4, 727, 1, 7, 13, 1888, 159, 6, 117, 99, 83, 93, 61, 28, 20, 14, 11, 19
2013/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56, 2, 4, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 212, 13, 4, 836, 1, 7, 13, 2040, 159, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 0, 0, 0, 0, 212, 13, 4, 836, 1, 7, 13, 2040, 159, 6, 117, 99, 83, 93, 61, 28, 20, 14, 11, 19
2013/8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 56, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 56, 2, 4, 0, 37, 8, 0, 0, 0, 0, 0, 0, 1, 380, 13, 4, 871, 1, 7, 13, 2104, 159, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 0, 0, 0, 1, 380, 13, 4, 871, 1, 7, 13, 2104, 159, 6, 117, 99, 83, 93, 61, 28, 20, 14, 11, 19
2013/9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 56, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 56, 2, 4, 0, 37, 8, 0, 0, 0, 3, 1, 11, 7, 514, 13, 4, 903, 1, 7, 13, 2198, 159, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 3, 1, 11, 7, 514, 13, 4, 903, 1, 7, 13, 2198, 159, 6, 117, 99, 83, 93, 61, 28, 20, 14, 11, 19
